state,abbrev,yr,leg_stat,alc_pm,mj_pm,cig_pm,ill_py,drg_crash,alc_crash,,,drg08,alc08,drg16,alc16,,
Alabama,AL,2008,no,54.41,14.49,45.41,16.53,4.66321243523316,21.8816067653277,,Alabama,4.66321243523316,21.8816067653277,6.00461893764434,15.0884495317378,-6.7931572335899,1.34140650241118
Alaska,AK,2008,no,60.5,25.16,44.6,15.79,5.76923076923077,22.0125786163522,,Alaska,5.76923076923077,22.0125786163522,7.37704918032787,24.4755244755245,2.4629458591723,1.6078184110971
Arizona,AZ,2008,med,59.35,17.08,39.8,18.31,3.38461538461538,23.598820058997,,Arizona,3.38461538461538,23.598820058997,6.35245901639344,15.5310621242485,-8.0677579347485,2.96784363177806
Arkansas,AR,2008,no,55.94,16.16,47.74,19.89,0,18.0398959236774,,Colorado,5.37363560033585,19.5850622406639,7.95631825273011,13.8781804163454,-5.7068818243185,2.58268265239426
California,CA,2008,decrim,59.79,18.67,34.37,18.49,0,24.2532550421241,,Connecticut,10.1190476190476,31.3953488372093,0,27.6595744680851,-3.7357743691242,-10.1190476190476
Colorado,CO,2008,decrim,69.51,24.18,43.67,17.74,5.37363560033585,19.5850622406639,,Florida,22.8737453777073,13.9873510810413,9.98212918049528,14.2962598425197,0.308908761478399,-12.891616197212
Connecticut,CT,2008,no,67.86,22.56,41.49,19.35,10.1190476190476,31.3953488372093,,Idaho,3.75,25.9375,15.0159744408946,19.8757763975155,-6.0617236024845,11.2659744408946
Delaware,DE,2008,no,68.53,22.67,45.53,18.41,0,52.4475524475525,,Illinois,11.3207547169811,21.3235294117647,7.03399765533412,16,-5.3235294117647,-4.28675706164698
District of Columbia,DC,2008,no,71.82,19.59,34.96,17.44,0,32.1428571428571,,Indiana,1.59474671669794,9.87525987525988,11.413612565445,13.6504653567735,3.77520548151362,9.81886584874706
Florida,FL,2008,no,56.91,15.21,38.36,16.69,22.8737453777073,13.9873510810413,,Kansas,15.0684931506849,30.0411522633745,7.72058823529412,13.3699633699634,-16.6711888934111,-7.34790491539078
Georgia,GA,2008,med,58.18,15.87,40.8,16.16,0,11.9557705597789,,Louisiana,13.1419939577039,30.9579439252336,19.1588785046729,21.4525139664804,-9.5054299587532,6.016884546969
